tokenizer,lang,sentences,tokens,tok_per_sentence,tok_per_word_micro,tok_per_word_line_avg,tok_per_grapheme,tok_per_utf8_byte,tok_per_char
spm:models/english_byte_unigram_2k.model,eng,1012.000000,41433.000000,40.941700,1.891831,1.911541,0.313967,0.313658,0.313967
spm:models/english_byte_unigram_2k.model,hin,1012.000000,337348.000000,333.347826,13.155559,13.214021,3.924613,0.999730,2.571642
spm:models/english_byte_unigram_2k.model,kan,1012.000000,374097.000000,369.661067,23.235839,23.445809,4.139569,0.996686,2.710318
spm:models/english_byte_unigram_2k.model,tam,1012.000000,421499.000000,416.500988,25.126617,25.336719,4.226656,0.999677,2.734680
spm:models/english_byte_unigram_2k.model,tel,1012.000000,352112.000000,347.936759,20.788287,20.909776,4.598744,0.995620,2.658151
spm:models/english_byte_unigram_2k.model,mal,1012.000000,411109.000000,406.234190,27.535767,27.772320,5.175870,0.998465,2.752987
spm:models/english_byte_unigram_2k.model,ben,1012.000000,348904.000000,344.766798,17.887009,18.058975,4.270917,1.000502,2.675829
spm:models/english_byte_unigram_2k.model,mar,1012.000000,355627.000000,351.410079,18.672005,18.781296,4.429392,1.000326,2.672862
spm:models/flores_unigram_8k.model,eng,1012.000000,49180.000000,48.596838,2.245560,2.269699,0.372672,0.372305,0.372672
spm:models/flores_unigram_8k.model,hin,1012.000000,47568.000000,47.003953,1.855009,1.877440,0.553393,0.140968,0.362616
spm:models/flores_unigram_8k.model,kan,1012.000000,49611.000000,49.022727,3.081429,3.109397,0.548970,0.132176,0.359430
spm:models/flores_unigram_8k.model,tam,1012.000000,48565.000000,47.989130,2.895082,2.915132,0.486994,0.115183,0.315089
spm:models/flores_unigram_8k.model,tel,1012.000000,49103.000000,48.520751,2.898985,2.934094,0.641308,0.138842,0.370687
spm:models/flores_unigram_8k.model,mal,1012.000000,53176.000000,52.545455,3.561688,3.604564,0.669487,0.129149,0.356092
spm:models/flores_unigram_8k.model,ben,1012.000000,47445.000000,46.882411,2.432329,2.466851,0.580772,0.136051,0.363867
spm:models/flores_unigram_8k.model,mar,1012.000000,46714.000000,46.160079,2.452693,2.477363,0.581830,0.131400,0.351098
