batch_size,prompt_len,gen_len,num_requests,wall_clock_s,reported_tok_s,ttft_ms_p50,itl_ms_p50,e2e_ms_p95,preempted_seqs,kv_cache_util,total_tokens,reported_from_wall,output_goodput_tok_s,goodput_from_reported
1.0,512.0,256.0,1.0,10.94,70.2,71.1,43.48,12863.7,0.0,0.01,768.0,70.20109689213895,23.40036563071298,23.400000000000002
2.0,512.0,256.0,2.0,11.61,132.3,68.3,43.1,13045.7,0.0,0.01,1536.0,132.2997416020672,44.09991386735573,44.1
4.0,512.0,256.0,4.0,11.77,261.0,71.5,45.34,13409.5,0.0,0.03,3072.0,261.00254885301615,87.00084961767205,87.0
8.0,512.0,256.0,8.0,12.4,495.4,72.7,46.83,14137.1,0.0,0.06,6144.0,495.4838709677419,165.16129032258064,165.13333333333333
16.0,512.0,256.0,16.0,13.91,883.2,71.7,48.33,15592.3,0.0,0.12,12288.0,883.3932422717469,294.4644140905823,294.40000000000003
32.0,512.0,256.0,32.0,16.5,1489.6,68.3,56.17,18502.8,0.0,0.23,24576.0,1489.4545454545455,496.4848484848485,496.5333333333333
64.0,512.0,256.0,64.0,21.68,2267.3,73.3,67.91,24323.7,0.0,0.47,49152.0,2267.158671586716,755.719557195572,755.7666666666668
4.0,3584.0,512.0,4.0,28.98,565.4,483.2,51.33,32673.3,0.0,0.16,16384.0,565.3554175293306,70.66942719116632,70.675
8.0,3584.0,512.0,8.0,36.3,902.6,519.0,62.26,39982.9,0.0,0.31,32768.0,902.6997245179064,112.8374655647383,112.825
16.0,3584.0,512.0,16.0,49.97,1311.4,498.3,77.2,54602.1,0.0,0.62,65536.0,1311.5069041424856,163.9383630178107,163.925
24.0,3584.0,512.0,24.0,61.16,1607.4,500.5,96.07,69221.3,0.0,0.93,98304.0,1607.3250490516677,200.91563113145847,200.925
32.0,3584.0,512.0,32.0,94.71,1384.0,636.9,101.79,97465.7,7.0,0.97,131072.0,1383.9298912469644,172.99123640587055,173.0
48.0,3584.0,512.0,48.0,151.41,1298.5,955.4,100.0,105427.5,23.0,0.97,196608.0,1298.513968694274,162.31424608678424,162.3125
